lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-12-24 18:00:27.152551,0.17731772363185883,0.0006088463123887777,0.17731772363185883,3949.0,15.0,,,,,,,,,
0.01,2022-12-24 18:01:04.291657,,,,,,,,,,,,,,
,2022-12-24 18:01:05.078476,0.38337215781211853,0.003481430234387517,0.38337215781211853,3999.0,15.0,,,,,,,,,
,2022-12-24 18:01:08.044082,,,,,15.0,0.13411517441272736,0.0006385454908013344,0.13411517441272736,0.2439105063676834,0.004426231142133474,0.2439105063676834,,,
,2022-12-24 18:01:10.087059,,,,,15.0,,,,,,,0.33960822224617004,0.005095320753753185,0.33960822224617004
0.01,2022-12-24 18:03:57.908564,,,,,,,,,,,,,,
,2022-12-24 18:03:58.602778,0.0427817776799202,0.00016116353799588978,0.0427817776799202,4049.0,16.0,,,,,,,,,
0.01,2022-12-24 18:04:35.192923,,,,,,,,,,,,,,
,2022-12-24 18:04:35.916317,0.044195521622896194,0.000156983092892915,0.044195521622896194,4099.0,16.0,,,,,,,,,
0.01,2022-12-24 18:05:12.211399,,,,,,,,,,,,,,
,2022-12-24 18:05:12.952291,0.519894003868103,0.007361138705164194,0.519894003868103,4149.0,16.0,,,,,,,,,
0.01,2022-12-24 18:05:49.338351,,,,,,,,,,,,,,
,2022-12-24 18:05:50.043997,0.07409454882144928,0.0002523192670196295,0.07409454882144928,4199.0,16.0,,,,,,,,,
0.01,2022-12-24 18:06:26.699941,,,,,,,,,,,,,,
,2022-12-24 18:06:27.399706,0.39938125014305115,0.004542849026620388,0.39938125014305115,4249.0,16.0,,,,,,,,,
,2022-12-24 18:06:30.501538,,,,,16.0,0.2537823021411896,0.0015458284178748727,0.2537823021411896,0.1836843192577362,0.001231961534358561,0.1836843192577362,,,
,2022-12-24 18:06:32.318131,,,,,16.0,,,,,,,0.1738831102848053,0.0029714552219957113,0.1738831102848053
0.01,2022-12-24 18:07:08.978990,,,,,,,,,,,,,,
,2022-12-24 18:07:09.672093,0.06446220725774765,0.00022692275524605066,0.06446220725774765,4299.0,17.0,,,,,,,,,
0.01,2022-12-24 18:07:46.548200,,,,,,,,,,,,,,
,2022-12-24 18:07:47.296093,0.24849273264408112,0.0010680551640689373,0.24849273264408112,4349.0,17.0,,,,,,,,,
0.01,2022-12-24 18:08:23.799877,,,,,,,,,,,,,,
,2022-12-24 18:08:24.637667,0.03967651352286339,0.00014522415585815907,0.03967651352286339,4399.0,17.0,,,,,,,,,
0.01,2022-12-24 18:09:01.467686,,,,,,,,,,,,,,
,2022-12-24 18:09:02.183840,0.19327837228775024,0.0007479331106878817,0.19327837228775024,4449.0,17.0,,,,,,,,,
0.01,2022-12-24 18:09:40.193991,,,,,,,,,,,,,,
,2022-12-24 18:09:40.994241,0.010733313858509064,5.546133252209984e-05,0.010733313858509064,4499.0,17.0,,,,,,,,,
,2022-12-24 18:09:43.921301,,,,,17.0,0.14739754796028137,0.0007330643711611629,0.14739754796028137,0.02716352790594101,0.00010632735938997939,0.02716352790594101,,,
,2022-12-24 18:09:48.220961,,,,,17.0,,,,,,,0.15974834561347961,0.0018664702074602246,0.15974834561347961
0.01,2022-12-24 18:12:34.488626,,,,,,,,,,,,,,
,2022-12-24 18:12:35.210209,0.01663578674197197,7.708047633059323e-05,0.01663578674197197,4549.0,18.0,,,,,,,,,
0.01,2022-12-24 18:13:09.667581,,,,,,,,,,,,,,
,2022-12-24 18:13:10.328599,0.12890979647636414,0.0004941340885125101,0.12890979647636414,4599.0,18.0,,,,,,,,,
0.01,2022-12-24 18:13:44.831510,,,,,,,,,,,,,,
,2022-12-24 18:13:45.574923,0.03429350629448891,0.00012870492355432361,0.03429350629448891,4649.0,18.0,,,,,,,,,
0.01,2022-12-24 18:14:21.715554,,,,,,,,,,,,,,
,2022-12-24 18:14:22.472637,0.2309599220752716,0.0011486291186884046,0.2309599220752716,4699.0,18.0,,,,,,,,,
0.01,2022-12-24 18:14:57.750981,,,,,,,,,,,,,,
,2022-12-24 18:14:58.390299,0.021481696516275406,8.822058589430526e-05,0.021481696516275406,4749.0,18.0,,,,,,,,,
,2022-12-24 18:15:01.399158,,,,,18.0,0.16384002566337585,0.0007018384640105069,0.16384002566337585,0.21919770538806915,0.006317687686532736,0.21919770538806915,,,
,2022-12-24 18:15:03.253269,,,,,18.0,,,,,,,0.16404053568840027,0.0021668383851647377,0.16404053568840027
0.01,2022-12-24 18:15:39.392175,,,,,,,,,,,,,,
,2022-12-24 18:15:40.115615,0.4106658101081848,0.005031605251133442,0.4106658101081848,4799.0,19.0,,,,,,,,,
0.01,2022-12-24 18:16:16.700748,,,,,,,,,,,,,,
,2022-12-24 18:16:17.395372,0.11171543598175049,0.00036714517045766115,0.11171543598175049,4849.0,19.0,,,,,,,,,
0.01,2022-12-24 18:16:54.759027,,,,,,,,,,,,,,
,2022-12-24 18:16:55.470106,0.4166945517063141,0.005501891020685434,0.4166945517063141,4899.0,19.0,,,,,,,,,
0.01,2022-12-24 18:17:32.070892,,,,,,,,,,,,,,
,2022-12-24 18:17:32.793115,0.07085544615983963,0.0002429107262287289,0.07085544615983963,4949.0,19.0,,,,,,,,,
